image,split,source,frame,positive,augmented,operations
ball_test_20260730_172702_f00000000_t0000000000_2.jpg,train,final_scene_positive,0,1,0,original
ball_test_20260730_172702_f00000000_t0000000000_2_aug.jpg,train,final_scene_positive,0,1,1,hsv+motion_blur
ball_test_20260730_172702_f00000010_t0000000347_1.jpg,train,final_scene_positive,10,1,0,original
ball_test_20260730_172702_f00000010_t0000000347_1_aug.jpg,train,final_scene_positive,10,1,1,gray3+gamma_1.10+hsv+glare
ball_test_20260730_172702_f00000020_t0000000694_3.jpg,train,final_scene_positive,20,1,0,original
ball_test_20260730_172702_f00000020_t0000000694_3_aug.jpg,train,final_scene_positive,20,1,1,hsv+motion_blur
ball_test_20260730_172702_f00000030_t0000001040_4.jpg,train,final_scene_positive,30,1,0,original
ball_test_20260730_172702_f00000030_t0000001040_4_aug.jpg,train,final_scene_positive,30,1,1,gamma_0.87+hsv+shadow
ball_test_20260730_172702_f00000040_t0000001387_6.jpg,train,final_scene_positive,40,1,0,original
ball_test_20260730_172702_f00000040_t0000001387_6_aug.jpg,train,final_scene_positive,40,1,1,hsv
ball_test_20260730_172702_f00000050_t0000001734_5.jpg,train,final_scene_positive,50,1,0,original
ball_test_20260730_172702_f00000050_t0000001734_5_aug.jpg,train,final_scene_positive,50,1,1,hsv+glare+noise
ball_test_20260730_172702_f00000060_t0000002081_7.jpg,train,final_scene_positive,60,1,0,original
ball_test_20260730_172702_f00000060_t0000002081_7_aug.jpg,train,final_scene_positive,60,1,1,gamma_1.01+hsv+shadow+motion_blur+noise
ball_test_20260730_172702_f00000070_t0000002428_8.jpg,train,final_scene_positive,70,1,0,original
ball_test_20260730_172702_f00000070_t0000002428_8_aug.jpg,train,final_scene_positive,70,1,1,gamma_0.82
ball_test_20260730_172702_f00000080_t0000002775_9.jpg,train,final_scene_positive,80,1,0,original
ball_test_20260730_172702_f00000080_t0000002775_9_aug.jpg,train,final_scene_positive,80,1,1,gamma_1.00+hsv
ball_test_20260730_172702_f00000090_t0000003121_10.jpg,train,final_scene_positive,90,1,0,original
ball_test_20260730_172702_f00000090_t0000003121_10_aug.jpg,train,final_scene_positive,90,1,1,gamma_0.82
ball_test_20260730_172702_f00000100_t0000003468_173.jpg,train,final_scene_positive,100,1,0,original
ball_test_20260730_172702_f00000100_t0000003468_173_aug.jpg,train,final_scene_positive,100,1,1,gamma_0.76+shadow
ball_test_20260730_172702_f00000110_t0000003815_175.jpg,train,final_scene_positive,110,1,0,original
ball_test_20260730_172702_f00000110_t0000003815_175_aug.jpg,train,final_scene_positive,110,1,1,gray3+hsv
ball_test_20260730_172702_f00000120_t0000004162_176.jpg,train,final_scene_positive,120,1,0,original
ball_test_20260730_172702_f00000120_t0000004162_176_aug.jpg,train,final_scene_positive,120,1,1,gamma_0.81+hsv+shadow
ball_test_20260730_172702_f00000130_t0000004509_178.jpg,train,final_scene_positive,130,1,0,original
ball_test_20260730_172702_f00000130_t0000004509_178_aug.jpg,train,final_scene_positive,130,1,1,gamma_0.83+hsv+shadow+glare
ball_test_20260730_172702_f00000140_t0000004856_177.jpg,train,final_scene_positive,140,1,0,original
ball_test_20260730_172702_f00000140_t0000004856_177_aug.jpg,train,final_scene_positive,140,1,1,gamma_0.74
ball_test_20260730_172702_f00000150_t0000005202_179.jpg,train,final_scene_positive,150,1,0,original
ball_test_20260730_172702_f00000150_t0000005202_179_aug.jpg,train,final_scene_positive,150,1,1,gamma_1.40
ball_test_20260730_172702_f00000160_t0000005549_180.jpg,train,final_scene_positive,160,1,0,original
ball_test_20260730_172702_f00000160_t0000005549_180_aug.jpg,train,final_scene_positive,160,1,1,gamma_1.05+hsv+shadow+gaussian_blur
ball_test_20260730_172702_f00000170_t0000005896_181.jpg,train,final_scene_positive,170,1,0,original
ball_test_20260730_172702_f00000170_t0000005896_181_aug.jpg,train,final_scene_positive,170,1,1,hsv+noise
ball_test_20260730_172702_f00000180_t0000006243_182.jpg,train,final_scene_positive,180,1,0,original
ball_test_20260730_172702_f00000180_t0000006243_182_aug.jpg,train,final_scene_positive,180,1,1,gamma_0.70+shadow+gaussian_blur
ball_test_20260730_172702_f00000190_t0000006590_11.jpg,train,final_scene_positive,190,1,0,original
ball_test_20260730_172702_f00000190_t0000006590_11_aug.jpg,train,final_scene_positive,190,1,1,gamma_0.81+hsv+shadow+motion_blur
ball_test_20260730_172702_f00000200_t0000006936_13.jpg,train,final_scene_positive,200,1,0,original
ball_test_20260730_172702_f00000200_t0000006936_13_aug.jpg,train,final_scene_positive,200,1,1,gamma_1.06+hsv
ball_test_20260730_172702_f00000210_t0000007283_12.jpg,train,final_scene_positive,210,1,0,original
ball_test_20260730_172702_f00000210_t0000007283_12_aug.jpg,train,final_scene_positive,210,1,1,hsv+noise
ball_test_20260730_172702_f00000220_t0000007630_183.jpg,train,final_scene_positive,220,1,0,original
ball_test_20260730_172702_f00000220_t0000007630_183_aug.jpg,train,final_scene_positive,220,1,1,gamma_0.89+hsv+shadow
ball_test_20260730_172702_f00000230_t0000007977_184.jpg,train,final_scene_positive,230,1,0,original
ball_test_20260730_172702_f00000230_t0000007977_184_aug.jpg,train,final_scene_positive,230,1,1,hsv+motion_blur
ball_test_20260730_172702_f00000240_t0000008324_185.jpg,train,final_scene_positive,240,1,0,original
ball_test_20260730_172702_f00000240_t0000008324_185_aug.jpg,train,final_scene_positive,240,1,1,gamma_1.14+hsv+shadow
ball_test_20260730_172702_f00000250_t0000008671_159.jpg,train,final_scene_positive,250,1,0,original
