file,group,split,object_count,source
000_positive_train_ball_test_20260730_172702_f00000830_t0000028786_158.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00000830_t0000028786_158.jpg
001_positive_test_ball_test_20260730_172702_f00001100_t0000038151_222.jpg,positive,test,1,datasets/gangzhu_pose_v2/images/test/ball_test_20260730_172702_f00001100_t0000038151_222.jpg
002_negative_train_ball_test_20260730_185508_f00000100_t0000003468_aug.jpg,negative,train,0,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_185508_f00000100_t0000003468_aug.jpg
003_positive_train_ball_test_20260730_172702_f00002070_t0000071793_205_aug.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00002070_t0000071793_205_aug.jpg
004_positive_train_ball_test_20260730_172702_f00002560_t0000088787_277_aug.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00002560_t0000088787_277_aug.jpg
005_positive_train_ball_test_20260730_172702_f00000290_t0000010058_88.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00000290_t0000010058_88.jpg
006_positive_train_ball_test_20260730_172702_f00003890_t0000134915_306_aug.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00003890_t0000134915_306_aug.jpg
007_negative_train_ball_test_20260730_185508_f00000350_t0000012139_aug.jpg,negative,train,0,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_185508_f00000350_t0000012139_aug.jpg
008_positive_train_ball_test_20260730_172702_f00002550_t0000088440_270.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00002550_t0000088440_270.jpg
009_positive_train_ball_test_20260730_172702_f00002590_t0000089828_276_aug.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00002590_t0000089828_276_aug.jpg
010_positive_test_ball_test_20260730_172702_f00003450_t0000119655_397.jpg,positive,test,1,datasets/gangzhu_pose_v2/images/test/ball_test_20260730_172702_f00003450_t0000119655_397.jpg
011_negative_train_ball_test_20260730_185508_f00000340_t0000011792_aug.jpg,negative,train,0,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_185508_f00000340_t0000011792_aug.jpg
012_positive_train_ball_test_20260730_172702_f00002060_t0000071446_203_aug.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00002060_t0000071446_203_aug.jpg
013_positive_train_ball_test_20260730_172702_f00003170_t0000109943_288.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00003170_t0000109943_288.jpg
014_positive_train_ball_test_20260730_172702_f00004140_t0000143585_314.jpg,positive,train,1,datasets/gangzhu_pose_v2/images/train/ball_test_20260730_172702_f00004140_t0000143585_314.jpg
