epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89037,1.83528,0.06399,0.01102,1.45956,0.96982,0.90891,0.71276,0.77178,0.36138,1,0.78281,0.8556,0.85454,1.6631,0.03808,0.00281,1.04699,0.91167,0.081285,0.000285,0.000285
2,8.96628,1.59837,0.03413,0.00744,0.77831,0.89965,0.91043,0.89286,0.91188,0.4995,1,0.92599,0.97666,0.97612,1.36266,0.01777,0.00065,0.88409,0.88009,0.0615849,0.000584905,0.000584905
3,12.9064,1.33583,0.02222,0.00191,0.66265,0.86591,0.96125,0.92857,0.94427,0.52528,0.99827,0.96429,0.98191,0.98191,1.4464,0.0147,0.00041,0.71399,0.88281,0.0418844,0.000884424,0.000884424
4,16.85,1.44915,0.01929,0.00258,0.66561,0.85977,0.99619,0.98214,0.992,0.54875,0.99619,0.98214,0.992,0.992,1.45206,0.00944,0.00019,0.80547,0.87792,0.0221833,0.00118326,0.00118326
5,20.7073,1.42197,0.01791,0.00945,0.65298,0.86297,0.98028,0.96429,0.98674,0.56336,0.99725,0.98214,0.99418,0.99418,1.41119,0.01261,0.00012,0.65688,0.86814,0.00248114,0.00148114,0.00148114
6,24.5878,1.27793,0.01675,0.00633,0.61299,0.85122,0.9962,0.75,0.79377,0.43049,0.9962,0.75,0.79377,0.79377,1.51298,0.36388,0.04314,0.69944,0.87388,0.0014939,0.0014939,0.0014939
7,28.5087,1.32694,0.01381,0.00137,0.63269,0.84572,0.96024,0.92857,0.95898,0.47755,0.99717,0.96429,0.99131,0.99085,1.39509,0.00935,0.00023,0.81145,0.86391,0.00149123,0.00149123,0.00149123
8,32.3164,1.32642,0.01389,0.00096,0.65109,0.84066,0.99846,0.96429,0.9907,0.54937,0.99846,0.96429,0.9907,0.9907,1.36755,0.00985,0.00027,0.68153,0.86588,0.00148807,0.00148807,0.00148807
9,36.1763,1.30971,0.01447,0.00566,0.60741,0.8633,1,0.97944,0.99247,0.52797,1,0.97944,0.99247,0.99247,1.46054,0.00719,0.00028,0.70046,0.86479,0.00148443,0.00148443,0.00148443
10,40.1125,1.22715,0.01234,0.00738,0.59239,0.83711,0.98214,0.98189,0.97849,0.51703,1,0.99959,0.995,0.995,1.48839,0.01033,0.0001,0.6482,0.88423,0.00148031,0.00148031,0.00148031
11,43.9854,1.27548,0.013,0.00144,0.58824,0.86968,0.97869,0.98214,0.99324,0.55715,0.99659,1,0.995,0.995,1.4767,0.01279,0.00012,0.6351,0.87614,0.00147572,0.00147572,0.00147572
12,47.9331,1.23696,0.01293,0.00255,0.58571,0.84119,0.99791,1,0.995,0.56953,0.99791,1,0.995,0.995,1.44457,0.00955,0.00021,0.66881,0.87761,0.00147066,0.00147066,0.00147066
13,52.0261,1.23845,0.01298,0.00205,0.58312,0.85378,0.99954,1,0.995,0.54317,0.99954,1,0.995,0.995,1.52866,0.00879,0.00034,0.61093,0.88564,0.00146513,0.00146513,0.00146513
14,55.9706,1.24063,0.01309,0.00218,0.56805,0.8598,0.98212,0.98068,0.98683,0.53662,1,0.99854,0.995,0.995,1.59141,0.00916,0.00041,0.65952,0.8896,0.00145913,0.00145913,0.00145913
15,59.8185,1.23157,0.01319,0.00072,0.58037,0.83824,0.97953,0.96429,0.97433,0.53121,0.99775,0.98214,0.99466,0.99466,1.34742,0.00711,0.00022,0.57805,0.86802,0.00145268,0.00145268,0.00145268
16,63.7499,1.17776,0.01423,0.00494,0.58085,0.83007,0.98211,0.98034,0.99394,0.54935,1,0.99819,0.995,0.995,1.45397,0.00858,0.00027,0.62519,0.87506,0.00144576,0.00144576,0.00144576
17,67.9262,1.23079,0.01435,0.00668,0.58545,0.81824,0.98146,0.94549,0.97252,0.55297,1,0.96325,0.99398,0.99398,1.58128,0.01349,0.00026,0.67274,0.88089,0.0014384,0.0014384,0.0014384
18,71.7869,1.18384,0.01287,0.00762,0.5864,0.83472,0.96361,0.94565,0.96107,0.56173,1,0.9811,0.99433,0.99433,1.52207,0.01103,0.00019,0.63038,0.88153,0.00143059,0.00143059,0.00143059
19,75.7161,1.13622,0.00989,0.00392,0.57187,0.84298,0.96349,0.94643,0.95579,0.55426,0.99604,0.98214,0.99289,0.99289,1.56378,0.01267,0.00018,0.67551,0.88382,0.00142234,0.00142234,0.00142234
20,79.5672,1.11092,0.01048,0.00217,0.56786,0.80603,0.99805,0.98214,0.98788,0.54817,0.99805,0.98214,0.99362,0.99362,1.58379,0.0113,0.00036,0.65039,0.87529,0.00141366,0.00141366,0.00141366
21,83.5095,1.1669,0.01187,0.00512,0.56731,0.83543,0.99726,0.98214,0.99449,0.52884,0.99726,0.98214,0.99449,0.99449,1.50371,0.00872,0.00021,0.68086,0.88508,0.00140454,0.00140454,0.00140454
22,87.4764,1.10946,0.00985,0.01593,0.5556,0.8369,0.97774,0.96429,0.97143,0.55145,0.99593,0.98214,0.99466,0.99466,1.39989,0.00928,0.0003,0.60055,0.87427,0.00139501,0.00139501,0.00139501
23,91.3772,1.17532,0.01257,0.0012,0.55593,0.82966,0.9824,0.99695,0.99482,0.55961,0.9824,0.99695,0.99482,0.99482,1.53113,0.0092,0.0002,0.63065,0.87243,0.00138505,0.00138505,0.00138505
24,95.3361,1.16769,0.01168,0.00321,0.54608,0.84278,0.99765,0.98214,0.99466,0.57539,0.99765,0.98214,0.99466,0.99466,1.51951,0.01088,0.00013,0.61337,0.87177,0.00137469,0.00137469,0.00137469
25,99.3095,1.11329,0.01334,0.00219,0.52628,0.82438,0.99678,0.98214,0.99449,0.55698,0.99678,0.98214,0.99449,0.99449,1.3677,0.01075,0.00019,0.6293,0.8676,0.00136392,0.00136392,0.00136392
26,103.21,1.14979,0.01071,0.0018,0.53662,0.84191,0.9994,0.96429,0.99382,0.58364,0.9994,0.96429,0.99382,0.99382,1.35707,0.00972,0.00041,0.61392,0.86943,0.00135276,0.00135276,0.00135276
27,107.153,1.18724,0.01025,0.00172,0.55159,0.8501,0.96167,0.94643,0.96401,0.56502,0.97981,0.96429,0.99015,0.99015,1.3618,0.01064,0.00034,0.62965,0.87001,0.00134122,0.00134122,0.00134122
28,111.118,1.10962,0.0107,0.00361,0.52724,0.80792,0.97892,0.94643,0.95523,0.53572,0.99739,0.96429,0.986,0.986,1.4168,0.01149,0.00081,0.65686,0.88068,0.00132929,0.00132929,0.00132929
29,115.121,1.19851,0.01037,0.00127,0.53251,0.83286,1,0.97862,0.98886,0.54423,1,0.97862,0.99247,0.99247,1.48562,0.01071,0.00055,0.67584,0.88067,0.00131699,0.00131699,0.00131699
30,119.218,1.11417,0.01062,0.0031,0.50808,0.83096,0.96097,0.96429,0.97102,0.54294,0.97877,0.98214,0.9943,0.9943,1.50574,0.00933,0.00054,0.60164,0.8738,0.00130433,0.00130433,0.00130433
31,123.257,1.08704,0.01145,0.00307,0.51687,0.82625,0.99742,0.98214,0.99433,0.58237,0.99742,0.98214,0.99433,0.99433,1.45577,0.00707,0.00057,0.61119,0.87618,0.00129131,0.00129131,0.00129131
32,127.54,1.12623,0.01138,0.01049,0.50126,0.82726,0.99887,0.98214,0.99403,0.59544,0.99887,0.98214,0.99466,0.99466,1.65705,0.00864,0.00099,0.65437,0.89735,0.00127795,0.00127795,0.00127795
33,131.83,1.10102,0.00891,0.00708,0.5353,0.82122,0.99827,0.98214,0.99403,0.56388,0.99827,0.98214,0.99403,0.99403,1.68372,0.00809,0.00048,0.63514,0.89169,0.00126426,0.00126426,0.00126426
34,136.196,1.12345,0.0092,0.00646,0.51717,0.82015,0.96488,0.9811,0.97969,0.5655,0.98244,0.99885,0.99482,0.99482,1.49451,0.00929,0.00027,0.64255,0.88618,0.00125023,0.00125023,0.00125023
35,140.426,1.0793,0.00931,0.00061,0.50403,0.83555,0.98066,0.96429,0.98359,0.60451,1,0.9966,0.995,0.995,1.46651,0.01143,0.0004,0.57871,0.86919,0.00123589,0.00123589,0.00123589
36,144.526,1.09276,0.01039,0.00268,0.50094,0.829,1,0.97678,0.99449,0.57814,0.98242,0.99776,0.99482,0.99482,1.47153,0.01103,0.00019,0.63529,0.87522,0.00122124,0.00122124,0.00122124
